user_id,rest_id,cost,rating,location
U0763,R8188,400,1,"Vijay Nagar, Bangalore"
U0255,R1592,100,2,"KR Puram, Bangalore"
U0955,R0169,700,2,"Indiranagar, Bangalore"
U0177,R1988,200,3,"Marathahalli, Bangalore"
U0646,R2834,700,5,"HSR, Bangalore"
U0726,R8025,400,4,"Old Airport Road, Bangalore"
U0804,R6027,100,3,"Kalyan Nagar, Bangalore"
U0596,R1256,200,1,"Kadubeesanahalli, Bangalore"
U0102,R3799,700,5,"Kumaraswamy Layout, Bangalore"
U0896,R3060,400,5,"HSR, Bangalore"
U0540,R2035,300,3,"Marathahalli, Bangalore"
U0507,R6804,200,5,"Electronic City, Bangalore"
U0793,R7679,100,3,"New BEL Road, Bangalore"
U0367,R1149,600,2,"Indiranagar, Bangalore"
U0325,R4506,400,1,"Bommanahalli, Bangalore"
U0715,R3901,600,4,"Kanakapura Road, Bangalore"
U0049,R4439,200,1,"Bellandur, Bangalore"
U0399,R8041,100,2,"Jeevan Bhima Nagar, Bangalore"
U0139,R4727,100,5,"Vijay Nagar, Bangalore"
U0699,R6458,100,3,"Banaswadi, Bangalore"
U0799,R6209,800,1,"Rammurthy Nagar, Bangalore"
U0863,R4233,200,2,"Bellandur, Bangalore"
U0782,R0027,400,2,"Indiranagar, Bangalore"
U0186,R2394,900,1,"Koramangala 7th Block, Bangalore"
U0163,R5161,800,3,"Majestic, Bangalore"
U0961,R7429,900,5,"Marathahalli, Bangalore"
U0349,R3441,300,2,"Kumaraswamy Layout, Bangalore"
U0423,R7651,900,1,"Jalahalli, Bangalore"
U0682,R4284,800,5,"Bellandur, Bangalore"
U0591,R4151,200,2,"Bannerghatta Road, Bangalore"
U0412,R7167,200,3,"Electronic City, Bangalore"
U0081,R7343,300,3,"Bommanahalli, Bangalore"
U0235,R3639,200,1,"Bannerghatta Road, Bangalore"
U0719,R0230,700,1,"Koramangala 6th Block, Bangalore"
U0447,R8667,500,4,"Abhimaani Vasathi, Bangalore"
U0167,R1852,1000,4,"Varthur Main Road, Whitefield, Bangalore"
U0198,R6326,100,4,"Banaswadi, Bangalore"
U0366,R1303,800,1,"Brookefield, Bangalore"
U0283,R5480,600,5,"New BEL Road, Bangalore"
U0034,R2936,400,2,"RMZ Ecoworld, Bellandur, Bangalore"
U0855,R5380,500,4,"Shivajinagar, Bangalore"
U0386,R7459,1000,3,"Bellandur, Bangalore"
U0541,R5729,400,3,"Koramangala 6th Block, Bangalore"
U0494,R8786,500,2,"HBR Layout, Bangalore"
U0425,R7998,300,1,"Brigade Road, Bangalore"
U0864,R5529,800,5,"Malleshwaram, Bangalore"
U0918,R4975,700,2,"Rajajinagar, Bangalore"
U0360,R2508,200,5,"Koramangala 1st Block, Bangalore"
U0485,R4426,900,4,"HSR, Bangalore"
U0641,R2956,700,3,"Bannerghatta Road, Bangalore"
U0439,R2789,200,5,"HSR, Bangalore"
U0193,R2120,500,3,"Whitefield, Bangalore"
U0938,R4241,100,3,"Sarjapur Road, Bangalore"
U0613,R7317,900,3,"Bannerghatta Road, Bangalore"
U0155,R4927,200,4,"Basaveshwara Nagar, Bangalore"
U0796,R5198,800,4,"Yeshwantpur, Bangalore"
U0093,R0697,200,5,"Marathahalli, Bangalore"
U0807,R6369,200,3,"Kalyan Nagar, Bangalore"
U0564,R8297,500,5,"Banashankari, Bangalore"
U0157,R2987,700,2,"Sarjapur Road, Bangalore"
U0210,R1749,800,1,"Whitefield, Bangalore"
U0843,R2482,300,1,"BTM, Bangalore"
U0486,R8005,500,1,"Frazer Town, Bangalore"
U0414,R1480,600,1,"ITPL Main Road, Whitefield, Bangalore"
U0209,R3998,1000,5,"BTM, Bangalore"
U0922,R4857,300,4,"New BEL Road, Bangalore"
U0418,R4234,1000,3,"Sarjapur Road, Bangalore"
U0065,R0521,600,1,"Indiranagar, Bangalore"
U0281,R4603,100,4,"Richmond Road, Bangalore"
U0444,R4957,100,3,"New BEL Road, Bangalore"
U0102,R8583,300,2,"Rajajinagar, Bangalore"
U0459,R0722,1000,2,"Marathahalli, Bangalore"
U0794,R7903,200,2,"New BEL Road, Bangalore"
U0741,R1612,200,4,"Whitefield, Bangalore"
U0330,R5970,700,5,"Kalyan Nagar, Bangalore"
U0490,R3596,700,1,"Malleshwaram, Bangalore"
U0138,R5078,700,2,"Yeshwantpur, Bangalore"
U0479,R7856,400,5,"Sahakara Nagar, Bangalore"
U0834,R3614,1000,2,"Bannerghatta Road, Bangalore"
U0022,R2679,1000,4,"Basavanagudi, Bangalore"
U0207,R7947,300,2,"ITC Gardenia, Bangalore"
U0132,R6001,900,5,"RT Nagar, Bangalore"
U0654,R5841,1000,4,"Kammanahalli, Bangalore"
U0652,R8782,400,2,"Banaswadi, Bangalore"
U0536,R5665,900,4,"Kammanahalli, Bangalore"
U0388,R5205,700,5,"Malleshwaram, Bangalore"
U0769,R4682,400,3,"Church Street, Bangalore"
U0261,R1549,300,2,"Whitefield, Bangalore"
U0684,R4710,900,5,"Shivajinagar, Bangalore"
U0041,R6863,200,3,"Electronic City, Bangalore"
U0611,R2025,900,2,"Marathahalli, Bangalore"
U0964,R0358,300,4,"Ulsoor, Bangalore"
U0445,R0825,400,4,"Marathahalli, Bangalore"
U0778,R4208,900,1,"Bommanahalli, Bangalore"
U0194,R0333,800,5,"Indiranagar, Bangalore"
U0599,R8817,400,5,"Hennur, Bangalore"
U0559,R0070,100,4,"Indiranagar, Bangalore"
U0494,R4706,800,3,"Majestic, Bangalore"
U0020,R1042,100,2,"Marathahalli, Bangalore"
U0206,R3750,1000,5,"BTM, Bangalore"
U0256,R5305,600,4,"Lavelle Road, Bangalore"
U0244,R8852,400,4,"Indiranagar, Bangalore"
U0929,R1394,400,1,"HSR, Bangalore"
U0999,R2098,900,1,"Whitefield, Bangalore"
U0783,R6460,200,3,"Nagawara, Bangalore"
U0206,R4692,300,2,"Nagawara, Bangalore"
U0348,R0997,600,5,"Whitefield, Bangalore"
U0797,R7572,100,5,"New BEL Road, Bangalore"
U0550,R7471,100,2,"HSR, Bangalore"
U0338,R0626,500,5,"Bellandur, Bangalore"
U0626,R3895,700,5,"Bannerghatta Road, Bangalore"
U0637,R5051,600,1,"Basaveshwara Nagar, Bangalore"
U0224,R5276,600,2,"Mantri Square, Malleshwaram, Bangalore"
U0357,R7299,600,5,"Bannerghatta Road, Bangalore"
U0862,R4330,300,5,"Sarjapur Road, Bangalore"
U0180,R3602,200,4,"Banashankari, Bangalore"
U0862,R0977,900,3,"Brookefield, Bangalore"
U0748,R5991,800,5,"Kalyan Nagar, Bangalore"
U0117,R7892,100,1,"New BEL Road, Bangalore"
U0458,R0279,300,4,"Koramangala 6th Block, Bangalore"
U0139,R0883,300,1,"Brookefield, Bangalore"
U0230,R2639,900,3,"Koramangala 4th Block, Bangalore"
U0024,R0697,300,4,"Marathahalli, Bangalore"
U0262,R8284,100,2,"Vijay Nagar, Bangalore"
U0721,R3335,900,1,"Jayanagar, Bangalore"
U0307,R6031,800,2,"Banaswadi, Bangalore"
U0721,R6982,200,1,"Electronic City, Bangalore"
U0442,R5190,700,4,"Rajajinagar, Bangalore"
U0282,R7440,500,2,"Bellandur, Bangalore"
U0549,R2298,400,2,"Basavanagudi, Bangalore"
U0443,R7822,300,1,"Sanjay Nagar, Bangalore"
U0960,R0329,400,2,"Indiranagar, Bangalore"
U0833,R6602,700,5,"Electronic City, Bangalore"
U0121,R4618,300,5,"Rajajinagar, Bangalore"
U0545,R7566,100,3,"Sahakara Nagar, Bangalore"
U0083,R5377,600,2,"Frazer Town, Bangalore"
U0481,R4155,100,4,"BTM, Bangalore"
U0891,R6941,300,1,"Bommanahalli, Bangalore"
U0318,R8846,400,5,"Indiranagar, Bangalore"
U0304,R5028,600,2,"RT Nagar, Bangalore"
U0093,R3124,600,1,"JP Nagar, Bangalore"
U0832,R8680,300,3,"Rajajinagar, Bangalore"
U0956,R3481,400,1,"Basavanagudi, Bangalore"
U0264,R3278,500,5,"BTM, Bangalore"
U0156,R1595,100,2,"ITPL Main Road, Whitefield, Bangalore"
U0905,R7481,800,3,"Sarjapur Road, Bangalore"
U0470,R2545,600,1,"Koramangala 6th Block, Bangalore"
U0268,R8435,500,5,"Jayanagar, Bangalore"
U0755,R0397,800,5,"Indiranagar, Bangalore"
U0480,R8889,1000,5,"Cunningham Road, Bangalore"
U0447,R6654,800,5,"Electronic City, Bangalore"
U0024,R2467,700,5,"BTM, Bangalore"
U0953,R2017,500,4,"Marathahalli, Bangalore"
U0819,R6249,200,4,"Kalyan Nagar, Bangalore"
U0913,R8826,700,2,"KR Puram, Bangalore"
U0502,R1548,700,5,"ITPL Main Road, Whitefield, Bangalore"
U0303,R2990,800,4,"HSR, Bangalore"
U0297,R6250,300,2,"Yelahanka, Bangalore"
U0669,R5725,300,5,"Barton Centre, Bangalore"
U0223,R8542,300,2,"Vijay Nagar, Bangalore"
U0287,R1103,900,2,"Thippasandra, Bangalore"
U0890,R4234,600,4,"Sarjapur Road, Bangalore"
U0681,R3601,400,3,"JP Nagar, Bangalore"
U0812,R1923,300,4,"Marathahalli, Bangalore"
U0985,R6366,100,3,"Kalyan Nagar, Bangalore"
U0800,R3580,500,3,"Banashankari, Bangalore"
U0506,R1148,900,5,"Marathahalli, Bangalore"
U0628,R2997,300,1,"Electronic City, Bangalore"
U0893,R0683,100,5,"Bellandur, Bangalore"
U0047,R4350,600,1,"Sarjapur Road, Bangalore"
U0634,R0907,500,5,"Marathahalli, Bangalore"
U0167,R1499,100,1,"ITPL Main Road, Whitefield, Bangalore"
U0861,R1963,300,2,"ITPL Main Road, Whitefield, Bangalore"
U0145,R1971,200,1,"Brookefield, Bangalore"
U0331,R8749,300,4,"Brookefield, Bangalore"
U0832,R3965,300,4,"Banashankari, Bangalore"
U0869,R6230,400,3,"Kammanahalli, Bangalore"
U0061,R7013,200,5,"Electronic City, Bangalore"
U0145,R5058,500,5,"RT Nagar, Bangalore"
U0130,R5816,700,4,"HBR Layout, Bangalore"
U0657,R6823,100,4,"Electronic City, Bangalore"
U0631,R0425,100,4,"Indiranagar, Bangalore"
U0448,R2945,900,3,"HSR, Bangalore"
U0998,R6115,200,2,"Nagawara, Bangalore"
U0396,R7425,100,2,"Bellandur, Bangalore"
U0831,R4445,600,1,"Bellandur, Bangalore"
U0701,R2744,700,4,"Koramangala 1st Block, Bangalore"
U0080,R6654,600,5,"Electronic City, Bangalore"
U0898,R7100,100,5,"Electronic City, Bangalore"
U0305,R3552,500,5,"Basavanagudi, Bangalore"
U0661,R2187,400,5,"Koramangala 6th Block, Bangalore"
U0213,R4514,900,2,"Koramangala 1st Block, Bangalore"
U0931,R7806,300,4,"Yeshwantpur, Bangalore"
U0122,R7642,1000,2,"Yeshwantpur, Bangalore"
U0227,R1458,700,1,"KR Puram, Bangalore"
U0028,R5932,700,3,"Kammanahalli, Bangalore"
U0332,R3491,800,2,"Jayanagar, Bangalore"
U0989,R7343,600,2,"Bommanahalli, Bangalore"
U0687,R4240,500,3,"Sarjapur Road, Bangalore"
U0930,R2025,100,4,"Marathahalli, Bangalore"
U0776,R5686,800,3,"Malleshwaram, Bangalore"
U0367,R0642,800,2,"Marathahalli, Bangalore"
U0569,R5062,800,3,"New BEL Road, Bangalore"
U0624,R3283,900,5,"Bommanahalli, Bangalore"
U0809,R0675,1000,2,"Marathahalli, Bangalore"
U0974,R6774,300,4,"Electronic City, Bangalore"
U0177,R4938,900,5,"Seshadripuram, Bangalore"
U0221,R4167,500,2,"Banashankari, Bangalore"
U0271,R5987,900,5,"Kalyan Nagar, Bangalore"
U0112,R3656,400,1,"Basavanagudi, Bangalore"
U0864,R2230,700,4,"Koramangala 7th Block, Bangalore"
U0348,R5590,600,5,"BTM, Bangalore"
U0228,R2384,800,4,"Koramangala 6th Block, Bangalore"
U0216,R4170,500,2,"Basavanagudi, Bangalore"
U0334,R8248,1000,1,"Rajarajeshwari Nagar, Bangalore"
U0264,R3321,200,4,"HSR, Bangalore"
U0949,R8471,600,4,"JP Nagar, Bangalore"
U0446,R5445,700,3,"Frazer Town, Bangalore"
U0762,R0008,300,1,"Indiranagar, Bangalore"
U0891,R3941,1000,1,"BTM, Bangalore"
U0447,R0383,1000,3,"Majestic, Bangalore"
U0200,R6966,100,2,"Electronic City, Bangalore"
U0795,R2257,700,3,"Bannerghatta Road, Bangalore"
U0790,R1333,1000,3,"Marathahalli, Bangalore"
U0642,R0485,800,1,"Residency Road, Bangalore"
U0744,R7173,800,3,"Electronic City, Bangalore"
U0960,R5286,700,5,"Rajajinagar, Bangalore"
U0386,R6257,1000,3,"Nagawara, Bangalore"
U0522,R1910,300,2,"Marathahalli, Bangalore"
U0321,R7435,1000,2,"Bellandur, Bangalore"
U0229,R4486,400,3,"Koramangala 7th Block, Bangalore"
U0970,R7664,300,3,"New BEL Road, Bangalore"
U0410,R0939,300,3,"Whitefield, Bangalore"
U0652,R6278,1000,1,"Kalyan Nagar, Bangalore"
U0993,R4512,100,4,"HSR, Bangalore"
U0107,R1103,400,2,"Thippasandra, Bangalore"
U0116,R8034,300,3,"Old Airport Road, Bangalore"
U0598,R8743,800,1,"Brookefield, Bangalore"
U0335,R6972,700,4,"Electronic City, Bangalore"
U0742,R5586,400,3,"BTM, Bangalore"
U0532,R2268,1000,3,"Koramangala 1st Block, Bangalore"
U0572,R5971,700,2,"Kammanahalli, Bangalore"
U0465,R8790,600,4,"Kammanahalli, Bangalore"
U0126,R0008,500,4,"Indiranagar, Bangalore"
U0798,R4452,200,5,"Sarjapur Road, Bangalore"
U0335,R0056,1000,4,"Indiranagar, Bangalore"
U0824,R7395,300,1,"JP Nagar, Bangalore"
U0970,R1553,600,1,"Whitefield, Bangalore"
U0514,R6676,600,2,"Electronic City, Bangalore"
U0746,R8032,700,5,"Kadubeesanahalli, Bangalore"
U0414,R3673,200,3,"Kumaraswamy Layout, Bangalore"
U0176,R0554,500,5,"Koramangala 6th Block, Bangalore"
U0360,R5157,700,1,"Rajajinagar, Bangalore"
U0550,R4769,800,1,"Rajajinagar, Bangalore"
U0678,R3038,900,4,"HSR, Bangalore"
U0666,R1506,300,3,"Whitefield, Bangalore"
U0705,R3787,700,1,"JP Nagar, Bangalore"
U0935,R3008,700,5,"Sarjapur Road, Bangalore"
U0977,R6408,500,3,"Indiranagar, Bangalore"
U0270,R4987,700,1,"Orion Mall, Malleshwaram, Bangalore"
U0237,R1447,600,1,"Whitefield, Bangalore"
U0770,R1825,1000,1,"KR Puram, Bangalore"
U0794,R2593,1000,5,"Hosur Road, Bangalore"
U0767,R3521,600,3,"Jayanagar, Bangalore"
U0170,R8018,800,5,"Jeevan Bhima Nagar, Bangalore"
U0734,R0269,1000,1,"Koramangala 6th Block, Bangalore"
U0812,R4254,400,4,"Sarjapur Road, Bangalore"
U0028,R3716,100,1,"Jayanagar, Bangalore"
U0088,R1577,1000,2,"Brookefield, Bangalore"
U0458,R6576,500,2,"Electronic City, Bangalore"
U0517,R2471,700,4,"Jayanagar, Bangalore"
U0828,R7673,1000,2,"Sanjay Nagar, Bangalore"
U0433,R3479,100,1,"BTM, Bangalore"
U0580,R5763,300,3,"Koramangala 5th Block, Bangalore"
U0391,R6190,200,1,"Kalyan Nagar, Bangalore"
U0605,R8729,300,4,"Whitefield, Bangalore"
U0979,R8499,1000,5,"Rajajinagar, Bangalore"
U0146,R4420,700,1,"HSR, Bangalore"
U0572,R6935,400,2,"Electronic City, Bangalore"
U0171,R1145,600,3,"Whitefield, Bangalore"
U0904,R3061,500,5,"Sarjapur Road, Bangalore"
U0403,R7509,900,2,"Jalahalli, Bangalore"
U0060,R2525,1000,1,"Koramangala 7th Block, Bangalore"
U0359,R6216,600,1,"Frazer Town, Bangalore"
U0881,R8412,100,2,"Banashankari, Bangalore"
U0809,R8555,900,1,"Vijay Nagar, Bangalore"
U0214,R4214,100,2,"Sarjapur Road, Bangalore"
U0432,R6914,500,1,"Electronic City, Bangalore"
U0160,R3012,800,3,"HSR, Bangalore"
U0023,R8054,200,4,"Indiranagar, Bangalore"
U0507,R8790,300,3,"Kammanahalli, Bangalore"
U0059,R7220,300,4,"Electronic City, Bangalore"
U0518,R4970,100,5,"Yeshwantpur, Bangalore"
U0881,R6695,200,4,"Electronic City, Bangalore"
U0624,R4214,600,5,"Sarjapur Road, Bangalore"
U0268,R0786,500,2,"Varthur Main Road, Whitefield, Bangalore"
U0955,R5734,1000,4,"Old Airport Road, Bangalore"
U0669,R2684,300,1,"BTM, Bangalore"
U0154,R4687,800,4,"Brigade Road, Bangalore"
U0410,R0836,100,3,"Marathahalli, Bangalore"
U0018,R6148,300,1,"HBR Layout, Bangalore"
U0169,R8435,800,2,"Jayanagar, Bangalore"
U0852,R1754,600,2,"KR Puram, Bangalore"
U0990,R3158,700,3,"HSR, Bangalore"
U0865,R5523,800,2,"Lavelle Road, Bangalore"
U0952,R6763,100,1,"Electronic City, Bangalore"
U0339,R5065,1000,3,"RT Nagar, Bangalore"
U0044,R0559,1000,3,"Thippasandra, Bangalore"
U0962,R4556,800,3,"Sarjapur Road, Bangalore"
U0069,R1198,400,5,"Bellandur, Bangalore"
U0478,R3070,100,5,"Sarjapur Road, Bangalore"
U0541,R4843,100,2,"Mantri Square, Malleshwaram, Bangalore"
U0225,R4137,400,5,"Bannerghatta Road, Bangalore"
U0654,R5525,400,4,"Yeshwantpur, Bangalore"
U0264,R2948,600,5,"HSR, Bangalore"
U0432,R8025,900,5,"Old Airport Road, Bangalore"
U0840,R7739,100,3,"Jalahalli, Bangalore"
U0042,R4876,300,3,"New BEL Road, Bangalore"
U0135,R0804,800,1,"Marathahalli, Bangalore"
U0505,R2321,600,3,"Koramangala 4th Block, Bangalore"
U0811,R1186,600,1,"Kaggadasapura, Bangalore"
U0876,R7078,700,1,"Electronic City, Bangalore"
U0620,R7790,1000,3,"Sanjay Nagar, Bangalore"
U0056,R5891,300,2,"Nagawara, Bangalore"
U0681,R0273,400,4,"CV Raman Nagar, Bangalore"
U0867,R8589,400,2,"Cunningham Road, Bangalore"
U0931,R4750,600,4,"Rajajinagar, Bangalore"
U0411,R8649,900,3,"Malleshwaram, Bangalore"
U0801,R2259,200,5,"Jayanagar, Bangalore"
U0682,R0289,800,3,"CV Raman Nagar, Bangalore"
U0811,R3365,900,4,"JP Nagar, Bangalore"
U0323,R8524,1000,4,"Vijay Nagar, Bangalore"
U0660,R7530,500,3,"Yeshwantpur, Bangalore"
U0926,R4430,1000,4,"Sarjapur Road, Bangalore"
U0617,R7825,900,5,"Sahakara Nagar, Bangalore"
U0754,R8266,1000,3,"Rajarajeshwari Nagar, Bangalore"
U0657,R0734,700,2,"Brookefield, Bangalore"
U0139,R6266,800,5,"Nagawara, Bangalore"
U0193,R4286,400,4,"Sarjapur Road, Bangalore"
U0505,R6653,1000,1,"Electronic City, Bangalore"
U0815,R3510,300,2,"JP Nagar, Bangalore"
U0275,R0412,500,5,"Indiranagar, Bangalore"
U0802,R1209,200,4,"Marathahalli, Bangalore"
U0635,R4319,500,3,"Bellandur, Bangalore"
U0012,R5940,100,1,"Kalyan Nagar, Bangalore"
U0885,R4751,900,2,"Seshadripuram, Bangalore"
U0160,R3038,400,1,"HSR, Bangalore"
U0068,R8061,900,3,"Indiranagar, Bangalore"
U0801,R5430,300,4,"Malleshwaram, Bangalore"
U0350,R2179,900,2,"Koramangala 7th Block, Bangalore"
U0383,R8155,200,5,"Rajarajeshwari Nagar, Bangalore"
U0460,R1808,200,5,"Brookefield, Bangalore"
U0738,R4164,600,4,"MG Road, Bangalore"
U0154,R7270,600,3,"Electronic City, Bangalore"
U0457,R5944,100,1,"Kammanahalli, Bangalore"
U0294,R8200,600,3,"Basavanagudi, Bangalore"
U0464,R8371,400,5,"Vijay Nagar, Bangalore"
U0768,R5822,200,4,"HBR Layout, Bangalore"
U0567,R5178,300,1,"Rajajinagar, Bangalore"
U0447,R1179,600,4,"Indiranagar, Bangalore"
U0384,R3588,1000,2,"Kumaraswamy Layout, Bangalore"
U0953,R1144,500,5,"Whitefield, Bangalore"
U0446,R6179,300,1,"Hennur, Bangalore"
U0042,R2341,900,3,"Koramangala 7th Block, Bangalore"
U0696,R3064,500,2,"HSR, Bangalore"
U0316,R7522,800,1,"Sanjay Nagar, Bangalore"
U0736,R5846,200,4,"Kammanahalli, Bangalore"
U0071,R6165,100,5,"Kalyan Nagar, Bangalore"
U0357,R5974,400,4,"Kalyan Nagar, Bangalore"
U0573,R4936,200,5,"Mantri Square, Malleshwaram, Bangalore"
U0946,R4497,600,5,"HSR, Bangalore"
U0755,R0146,400,4,"Marathahalli, Bangalore"
U0226,R5569,300,3,"Sanjay Nagar, Bangalore"
U0765,R3869,800,5,"JP Nagar, Bangalore"
U0921,R8840,400,1,"Banaswadi, Bangalore"
U0314,R4453,400,3,"Sarjapur Road, Bangalore"
U0405,R8073,600,1,"Indiranagar, Bangalore"
U0706,R5083,700,1,"Cunningham Road, Bangalore"
U0842,R3684,400,5,"Banashankari, Bangalore"
U0398,R1609,700,3,"ITPL Main Road, Whitefield, Bangalore"
U0231,R5987,900,1,"Kalyan Nagar, Bangalore"
U0049,R3392,900,1,"Jayanagar, Bangalore"
U0283,R2482,500,3,"BTM, Bangalore"
U0473,R1437,900,5,"Whitefield, Bangalore"
U0016,R2338,500,2,"HSR, Bangalore"
U0988,R7536,100,3,"New BEL Road, Bangalore"
U0282,R6164,200,4,"Kalyan Nagar, Bangalore"
U0350,R2515,800,2,"Koramangala 4th Block, Bangalore"
U0527,R2180,500,1,"BTM, Bangalore"
U0888,R8420,700,2,"Vijay Nagar, Bangalore"
U0850,R0763,500,4,"Sarjapur Road, Bangalore"
